objid,l,b,g,r,i,psfMagErr_g,psfMagErr_r,psfMagErr_i
1237662530601353626,357.859743033665,69.1890052984605,22.75646,22.20275,21.9771,0.1442319,0.1206838,0.1662482
1237662530601353637,358.023077665928,69.2244925425304,22.03575,20.8984,20.54439,0.07916191,0.04503168,0.05122397
1237662530601353651,357.681490113867,69.1345684820201,22.04331,21.28572,20.77435,0.07821641,0.05594677,0.05934288
1237662530601353656,357.812059784991,69.1624364494353,22.46587,22.17153,21.98965,0.1122897,0.1166992,0.1666253
1237662530601353660,357.903427396071,69.1835465618362,22.68871,22.46952,22.42773,0.1363703,0.1526797,0.2447066
1237662530601353667,358.080918021837,69.2235648082483,21.68343,21.31781,21.21435,0.059823,0.06062719,0.08664779
1237662530601353675,357.756463290549,69.1408209278769,23.02375,22.62384,22.03633,0.1785856,0.1689382,0.1716819
1237662530601353676,357.777167848578,69.1456256654988,22.49601,22.32941,21.78589,0.1147695,0.1322983,0.1387482
1237662530601353680,357.808558925836,69.1520138175717,23.11296,22.09398,21.49035,0.1934969,0.1093159,0.108018
1237662530601353681,357.638328237368,69.1082351306045,21.99327,21.71923,21.53968,0.07417703,0.07670262,0.1097561
1237662530601353693,357.817718243043,69.1490673658828,22.22536,21.8589,21.90677,0.09193091,0.09014046,0.154496
1237662530601353699,358.004917026772,69.1929499085793,23.16117,22.77003,23.09828,0.2756424,0.2050302,0.4279149
1237662530601353995,357.905271467186,69.2407568887926,23.92959,22.6551,23.56397,0.3719854,0.1770052,0.574112
1237662530601353997,358.026315387826,69.2690386982466,23.77247,22.65187,22.27245,0.3266973,0.1775161,0.2155065
1237662530601354008,357.60479491066,69.1570322060664,23.52184,22.54236,21.44768,0.2660688,0.1511423,0.1024189
1237662530601354013,357.764721276174,69.1953018944527,23.14193,22.62197,23.20688,0.18381,0.1684818,0.4524407
1237662530601354040,357.887545160256,69.2042536668297,23.38453,22.81956,23.61156,0.2441024,0.2040194,0.585525
1237662530601354046,357.648481067928,69.1402642196839,23.2261,22.88789,22.63604,0.2091866,0.2046483,0.2834406
1237662530601354070,357.872202618588,69.1692943531357,23.45633,22.4974,22.63811,0.2578877,0.1556735,0.2908522
1237662530601354073,357.948354528595,69.1765646978641,23.4585,22.75284,22.41664,0.2596768,0.1963385,0.2424157
1237662530601353494,357.871340205243,69.1584343518814,20.96108,20.58713,20.3595,0.03626615,0.03749582,0.045054
1237662530601353498,357.77998254023,69.1314658680607,20.38592,20.09525,20.01726,0.02664741,0.02934691,0.03541983
1237662530601353322,357.971566251413,69.1799081546804,18.42565,18.02577,17.86282,0.01787329,0.02200883,0.02050943
1237662530601353327,357.957975637952,69.182526292866,22.9648,22.54414,21.88435,0.212619,0.2080232,0.2036371
1237662530601353330,357.97645221193,69.1858751775458,23.82727,22.95234,22.44761,0.400353,0.2585564,0.2950594
1237662530601353459,357.668540928115,69.1789933046732,21.01065,20.68945,20.65101,0.03722074,0.03796874,0.05438619
1237662530601353467,357.79303890861,69.1889944826896,20.34077,20.2562,20.30338,0.02624476,0.03126242,0.04292437
1237662530601222886,357.615715865591,69.4506293887706,21.26322,20.75764,20.66578,0.05035596,0.03799987,0.05668226
1237662530601223056,357.723952802514,69.4121666741047,22.83208,21.91523,21.61309,0.1676001,0.09262394,0.118859
1237662530601223057,357.697725569455,69.404392499152,23.03771,22.71747,21.9487,0.2001846,0.1829037,0.1575394
1237662530601223061,357.61964547695,69.3832487774659,20.89513,20.05714,19.78194,0.04067533,0.02547056,0.03664734
